"","poex","f0","f02","f03","f04","nr","nfb","adsa","rpat","sk1","dfsy","simt","aZm1","aZm2","aZm3","aZm4","maxlev","tZm1","tZm2","tZm3","tZm4"
"p08_37",-1,5103,5103,5121,5280,5542,439,5.37,0.077,0.373,0.168,138721,2.845,1.38,0.887,1.108,4,1.108,0.887,1.38,2.845
"0_1",-1,5535,5535,9888,NA,10731,5196,12.32,0,1,-0.321,240.7,0.549,0.446,0.314,NA,3,0.314,0.446,0.549,2.845
"n04_0",-1,1304,1307,1384,1676,1778,474,6.91,-0.04,0,0.357,68320,46.88,15.94,0.724,0.847,4,0.847,0.724,15.94,46.88
"n17_0",-1,17570,17570,17677,17807,18091,521,7.24,-0.17,0,0.414,108885,2.738,0.554,0.803,1.22,4,1.22,0.803,0.554,2.738
"n15_63",-1,4996,4996,5059,5222,5657,661,7.77,-0.151,0.637,-0.171,116805,2.672,0.703,0.661,0.9,4,0.9,0.661,0.703,2.672
"p14_55",-1,3252,3252,3281,NA,4055,932,9.47,0.14,0.545,-0.06,345.7,0.9062,0.9368,1.265,NA,3,1.265,0.9368,0.9062,2.845
"p23_0",-1,4471,4471,10075,NA,16899,803,13.67,0.23,0,0.4,23478,80.55,45.2,42.24,NA,3,42.24,45.2,80.55,2.845
"n07_50",-1,11560,11560,11601,12439,13502,1942,10.94,-0.07,0.5,-0.002,3248,0.638,0.216,0.288,0.332,4,0.332,0.288,0.216,0.638
"n00_45",-1,608,608,681,1151,2246,1638,8.65,-0.002,0.45,0.08,8356,0.652,0.193,0.308,0.581,4,0.581,0.308,0.193,0.652
"n33_39",-1,2520,2520,2538,2679,2982,462,5.674,-0.334,0.393,0.154,3075,0.598,0.538,1.066,1.919,4,1.919,1.066,0.538,0.598
"p09_30",-1,711,711,812,1475,1549,838,9.24,0.094,0.3,0.265,392.7,1.227,0.408,0.375,0.386,4,0.386,0.375,0.408,1.227
"n27_23",-1,1715,1715,1738,1995,2610,895,6.99,-0.272,0.236,0.365,820.7,0.983,0.438,0.541,0.537,4,0.537,0.541,0.438,0.983
"n07_41_n2",-2,623,623,4085,NA,10173,9550,12.15,-0.075,0.411,0.114,18546,0.147,0.127,0.164,NA,3,0.164,0.127,0.147,2.845
"n20_42_n1.5",-1.5,3546,3546,3556,4042,5629,2083,7.51,-0.197,0.417,0.088,12661,3.65,2.79,0.349,0.314,4,0.314,0.349,2.79,3.65
"p08_41_n0.5",-0.5,2001,2001,2065,NA,2733,732,7.77,0.084,0.414,0.117,177.6,11.71,2.46,1.27,NA,3,1.27,2.46,11.71,2.845
"n20_53_n0.5",-0.5,1924,1924,1996,2044,2700,776,7.38,-0.198,0.529,-0.028,369.6,0.842,0.559,0.785,2.441,4,2.441,0.785,0.559,0.842
"n11_46_n0.33",-0.333,2201,2201,2376,2778,3145,944,8.86,-0.112,0.461,0.048,465.9,3.328,0.297,0.396,0.526,4,0.526,0.396,0.297,3.328
"n17_49_n0.1",-0.1,1725,1725,1968,NA,2668,943,9.828,-0.17,0.494,0.006,192.9,13.76,0.696,0.563,NA,3,0.563,0.696,13.76,2.845
"n17_60_n0.75",-0.75,1189,1189,1217,NA,1969,780,7.788,-0.172,0.593,-0.118,302.7,3.63,1.034,1.297,NA,3,1.297,1.034,3.63,2.845
"n14_43_n1.25",-1.25,1326,1326,1366,NA,2080,754,11.027,-0.142,0.431,0.098,129.6,17.34,4.63,1.15,NA,3,1.15,4.63,17.34,2.845
"n11_57_n0.66",-0.666,2496,2496,2540,2820,3036,540,7.686,-0.11,0.571,-0.103,121.9,1.334,1.278,0.697,0.909,4,0.909,0.697,1.278,1.334
"n10_44_n0.25",-0.25,907,907,1222,NA,1699,792,9.874,-0.095,0.44,0.077,133.29,0.366,0.418,0.549,NA,3,0.549,0.418,0.366,2.845
"n24_23_n1.75",-1.75,2867,2867,2911,NA,4331,1464,12.2,-0.241,0.226,0.35,93.4,2.181,2.846,1.128,NA,3,1.128,2.846,2.181,2.845
"p17_39_0",0,1855,1855,2634,NA,3152,1297,10.28,0.172,0.385,0.132,122.5,2.113,0.272,0.28,NA,3,0.28,0.272,2.113,2.845
"p24_45_n2",-2,1894,1894,2247,4861,5600,3706,11.724,0.243,0.451,0.063,113.1,6.348,3.49,2.187,0.707,4,0.707,2.187,3.49,6.348
"n11_27_n0.25",-0.25,718,718,739,NA,1358,640,9.439,-0.115,0.27,0.318,145.4,14.46,6.322,1.488,NA,3,1.488,6.322,14.46,2.845
"p08_20_n1.33",-1.33,1181,1181,2445,2864,3180,1999,8.665,0.077,0.205,0.315,167.5,0.489,0.31,0.156,0.164,4,0.164,0.156,0.31,0.489
"n06_51_n0.5",-0.5,3070,3070,3410,NA,3855,785,9.808,-0.065,0.51,-0.014,128.9,5.073,0.537,0.538,NA,3,0.538,0.537,5.073,2.845
"p04_29_n0.2",-0.2,4991,4991,5014,5162,5565,574,9.138,0.037,0.29,0.246,121,2.677,0.709,0.858,1.688,4,1.688,0.858,0.709,2.677
"n11_48_n0.3",-0.3,765,765,807,1079,1413,648,8.228,-0.114,0.483,0.023,178.6,5.773,1.128,0.592,0.787,4,0.787,0.592,1.128,5.773
"p04_59_n3",-3,40653,40653,41838,49118,50526,9873,10.48,0.042,0.59,-0.127,350.8,6.851,3.971,2.05,1.138,4,1.138,2.05,3.971,6.851
"p17_38_0",0,890,890,1018,NA,1623,733,11.32,0.165,0.383,0.148,233.2,0.276,0.619,0.841,NA,3,0.841,0.619,0.276,2.845
"n03_49_n0.4",-0.4,1131,1131,1218,1520,1717,586,7.6,-0.029,0.478,0.028,229.7,0.736,0.353,0.573,0.756,4,0.756,0.573,0.353,0.736
"p34_29_n0.9",-0.9,1604,1604,2236,NA,2790,1186,10.45,0.343,0.29,0.29,248,4.69,4.09,0.318,NA,3,0.318,4.09,4.69,2.845
"n19_56_n0.7",-0.7,1136,1136,2402,2796,2974,1838,6.888,-0.193,0.555,-0.084,272.7,4.72,0.102,0.165,0.179,4,0.179,0.165,0.102,4.72
"p05_54_n0.8",-0.8,1224,1224,1248,1832,1915,691,7.954,0.046,0.545,-0.041,275.2,3.69,0.361,0.475,0.509,4,0.509,0.475,0.361,3.69
"n17_44_n1.6",-1.6,2057,2057,2406,NA,4055,1998,12.3,-0.167,0.44,0.084,132,1.5,1.47,1.83,NA,3,1.83,1.47,1.5,2.845
"n03_56_n1.4",-1.4,2983,2983,3007,3105,3554,571,8.904,-0.031,0.556,-0.069,177.3,24.3,18.6,1.22,1.12,4,1.12,1.22,18.6,24.3
"n15_34_n1.9",-1.9,6583,6583,8926,NA,9621,3038,11.86,-0.151,0.338,0.199,95.4,0.816,0.762,0.679,NA,3,0.679,0.762,0.816,2.845
"p02_38_n0.5",-0.5,890,890,914,1285,1581,691,7.624,0.022,0.378,0.128,182.6,3,0.529,0.551,0.765,4,0.765,0.551,0.529,3
"p18_36_n0.25",-0.25,1268,1268,1288,1715,2192,924,8.337,0.178,0.364,0.162,556.8,5.35,0.927,0.446,0.658,4,0.658,0.446,0.927,5.35
